Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
Sunday,-1.4984434549882204,2014-09-14,-1.4598859152782515,-1.3933401855246863,-1.2093722346535616,-2.1357838806927605
Monday,-0.9985006756437217,2014-09-15,-0.3665089519428032,-0.4245059915352632,-0.161810882710205,-1.6665509684144673
Tuesday,-0.498557896299223,2014-09-16,-0.30943096809410525,-0.3200439537055368,-0.09535658702752377,-1.38738708389447
Wednesday,0.0013848830452757176,2014-09-17,-0.33241041613708755,-0.3364301557180429,-0.12556308506510613,-1.3339301698374493
Thursday,0.5013276623897744,2014-09-18,-0.5925970697850484,-0.5904162869118874,-0.3635902896012552,-1.6368526828272336
Friday,1.001270441734273,2014-09-19,-0.9639746010603432,-1.1055575126800479,-0.977386329724929,-1.6071543972399998
Saturday,1.5012132210787719,2014-09-20,-1.8216269038258441,-1.8685400438873632,-1.7470478997225278,-2.2486373659242487
Sunday,-1.4984434549882204,2014-09-21,-1.3546252177910423,-1.3175540012168456,-1.1477509786568936,-1.9991717669914852
Monday,-0.9985006756437217,2014-09-22,-0.3539073191450387,-0.3651060092399286,-0.14368698388765555,-1.411145712364257
Tuesday,-0.498557896299223,2014-09-23,0.25690123528778125,0.3220903376595459,0.674304982970075,-1.4467836550689375
Wednesday,0.0013848830452757176,2014-09-24,0.22132015444703448,0.23811105234545216,0.5558955106627521,-1.3517491411897895
Thursday,0.5013276623897744,2014-09-25,0.1479341752129942,0.08858695898133401,0.3770730422802645,-1.339869826954896
Friday,1.001270441734273,2014-09-26,-0.5874081621624395,-0.7102403891283383,-0.4807915019870748,-1.7556458251761686
Saturday,1.5012132210787719,2014-09-27,-1.8231094488608752,-1.805043511088902,-1.6805936040398466,-2.207059766102122
Sunday,-1.4984434549882204,2014-09-28,-1.2234199821907885,-1.163933357349601,-0.9882606690184587,-1.8922579388774439
Monday,-0.9985006756437217,2014-09-29,-0.014404506122913049,-0.07117851064060045,0.17650189531071755,-1.2804732557804284
Tuesday,-0.498557896299223,2014-09-30,0.26579650549796796,0.09165937185867891,0.3492830640856887,-1.1854387419012804
Wednesday,0.0013848830452757176,2014-10-01,0.0063511243675225815,-0.09575781365935959,0.13300453813659893,-1.2091973703710674
Thursday,0.5013276623897744,2014-10-02,-0.44582511131696795,-0.4644473589407468,-0.23188995815739608,-1.553697483182979
Friday,1.001270441734273,2014-10-03,-0.8231328227323871,-0.8659093082471462,-0.694653508093158,-1.6071543972399998
Saturday,1.5012132210787719,2014-10-04,-1.528082986889683,-1.5428642788888045,-1.3978607824080755,-2.076387309518293
Sunday,-1.4984434549882204,2014-10-05,-0.9402538804998453,-1.0543506313909663,-0.8674346768681291,-1.8506803390553166
Monday,-0.9985006756437217,2014-10-06,0.285810863470888,0.24425587810014193,0.5099816336456269,-1.0904042280221324
Tuesday,-0.498557896299223,2014-10-07,0.361420660257475,0.22582140083607258,0.4507768974919655,-0.9062748573812831
Wednesday,0.0013848830452757176,2014-10-08,0.05305129297100275,0.07322489459460954,0.2804122485600009,-0.9537921143208572
Thursday,0.5013276623897744,2014-10-09,0.16868980570342984,-0.08039574927263513,0.13783757782261213,-1.1438611420791531
Friday,1.001270441734273,2014-10-10,-0.40802021292367446,-0.5740300848993813,-0.39983808724635406,-1.363628455424683
Saturday,1.5012132210787719,2014-10-11,-1.5088099014342784,-1.5213573887473901,-1.3906112228790557,-1.9872924527565918
Sunday,-1.4984434549882204,2014-10-12,-0.8038597372769826,-0.8741024092533992,-0.694653508093158,-1.6546716541795738
Monday,-0.9985006756437217,2014-10-13,0.5178291614532577,0.4060696229736397,0.6549728242260223,-0.8646972575591559
Tuesday,-0.498557896299223,2014-10-14,0.6853567504117739,0.6774660938057719,0.9497882450728262,-0.7399644580927741
Wednesday,0.0013848830452757176,2014-10-15,0.6764614802015873,0.5863178451112068,0.801172274727921,-0.5380161160995846
Thursday,0.5013276623897744,2014-10-16,0.40219064872083066,0.3978765219673866,0.633224145638963,-0.8053006863846884
Friday,1.001270441734273,2014-10-17,-0.36428513439025656,-0.4767370104501264,-0.3418416110141959,-1.0844645709046856
Saturday,1.5012132210787719,2014-10-18,-1.356849035343589,-1.3554470933707659,-1.2262878735546077,-1.8328613677029764
Sunday,-1.4984434549882204,2014-10-19,-0.49030146236790145,-0.6108990394275201,-0.44816848410648585,-1.339869826954896
Monday,-0.9985006756437217,2014-10-20,0.883276512588428,0.7931936455190962,1.059739897929626,-0.6092920015089456
Tuesday,-0.498557896299223,2014-10-21,0.755777639575752,0.7768074435065901,1.0259086201275338,-0.5380161160995846
